underlying_symbol,quote_datetime,expiration,strike,option_type,underlying_bid,underlying_ask,best_bid,best_ask,trade_price,trade_size,trade_iv,open_interest
SPY,2025-10-20 20:49:06.367717,2025-10-20,500.0,call,671.2081248779297,672.5518848876952,170.02,172.82,171.62,46.0,2.9433620166015624,49.0
SPY,2025-10-20 20:49:06.367717,2025-10-20,525.0,call,671.2081248779297,672.5518848876952,145.02,147.81,143.34,31.0,2.518558391113281,31.0
SPY,2025-10-20 20:49:06.367717,2025-10-20,550.0,call,671.2081248779297,672.5518848876952,120.25,122.83,114.6,8.0,2.119145327148437,2.0
SPY,2025-10-20 20:49:06.367717,2025-10-20,575.0,call,671.2081248779297,672.5518848876952,95.02,97.84,95.54,3.0,1.72265763671875,1.0
SPY,2025-10-20 20:49:06.367717,2025-10-20,580.0,call,671.2081248779297,672.5518848876952,90.02,92.81,89.5,27.0,1.6337908935546874,25.0
SPY,2025-10-20 20:49:06.367717,2025-10-20,585.0,call,671.2081248779297,672.5518848876952,85.24,87.8,76.99,2.0,1.5517600537109373,1.0
SPY,2025-10-20 20:49:06.367717,2025-10-20,595.0,call,671.2081248779297,672.5518848876952,76.32,76.58,75.78,1.0,1.0000000000000003e-05,2.0
SPY,2025-10-20 20:49:06.367717,2025-10-20,600.0,call,671.2081248779297,672.5518848876952,71.42,71.5,70.9,5.0,1.0000000000000003e-05,39.0
SPY,2025-10-20 20:49:06.367717,2025-10-20,605.0,call,671.2081248779297,672.5518848876952,66.44,67.01,63.48,3.0,0.8945323046874999,2.0
SPY,2025-10-20 20:49:06.367717,2025-10-20,608.0,call,671.2081248779297,672.5518848876952,63.45,64.02,61.57,3.0,0.8652357226562499,3.0
SPY,2025-10-20 20:49:06.367717,2025-10-20,610.0,call,671.2081248779297,672.5518848876952,61.4,61.47,52.9,428.0,1.0000000000000003e-05,90.0
SPY,2025-10-20 20:49:06.367717,2025-10-20,612.0,call,671.2081248779297,672.5518848876952,59.36,60.01,49.5,2.0,0.8085956640624999,2.0
SPY,2025-10-20 20:49:06.367717,2025-10-20,613.0,call,671.2081248779297,672.5518848876952,58.39,58.99,46.61,2.0,0.7773459765625,2.0
SPY,2025-10-20 20:49:06.367717,2025-10-20,615.0,call,671.2081248779297,672.5518848876952,56.51,57.03,56.93,2.0,0.78711150390625,3.0
